iter	Passed	Remaining
0	6	1211
1	6	689
2	7	515
3	8	439
4	9	376
5	10	345
6	11	317
7	11	287
8	12	270
9	13	253
10	14	243
11	15	239
12	19	276
13	20	274
14	21	265
15	22	256
16	27	292
17	28	284
18	29	276
19	30	271
20	31	264
21	36	292
22	37	285
23	37	278
24	38	271
25	43	290
26	44	283
27	45	277
28	46	271
29	46	266
30	51	278
31	52	273
32	52	267
33	53	263
34	54	258
35	55	254
36	59	261
37	60	257
38	61	252
39	62	248
40	62	244
41	64	241
42	68	249
43	69	245
44	70	241
45	71	238
46	72	235
47	76	241
48	77	237
49	77	233
50	78	229
51	79	225
52	80	222
53	84	228
54	85	224
55	85	221
56	86	217
57	87	214
58	91	217
59	91	214
60	92	211
61	93	207
62	94	204
63	94	201
64	95	198
65	96	195
66	99	198
67	100	195
68	101	192
69	102	189
70	103	187
71	107	191
72	108	188
73	109	185
74	109	182
75	110	180
76	111	177
77	114	179
78	115	176
79	116	174
80	116	171
81	117	168
82	117	166
83	118	163
84	119	161
85	120	159
86	124	161
87	124	158
88	125	156
89	126	154
90	126	151
91	127	149
92	131	151
93	132	148
94	132	146
95	133	144
96	134	142
97	134	140
98	135	138
99	136	136
100	139	136
101	140	134
102	141	132
103	141	130
104	142	128
105	143	126
106	143	124
107	145	123
108	146	121
109	146	119
110	147	117
111	147	116
112	148	114
113	148	112
114	149	110
115	150	108
116	151	107
117	152	105
118	153	104
119	154	102
120	155	101
121	156	100
122	157	98
123	157	96
124	158	94
125	158	93
126	158	91
127	159	89
128	159	87
129	160	86
130	161	84
131	161	83
132	162	81
133	162	80
134	163	78
135	163	77
136	164	75
137	164	73
138	164	72
139	165	70
140	165	69
141	166	67
142	166	66
143	167	65
144	167	63
145	168	62
146	168	60
147	169	59
148	169	58
149	170	56
150	170	55
151	171	54
152	171	52
153	172	51
154	172	50
155	172	48
156	173	47
157	173	46
158	174	44
159	174	43
160	174	42
161	175	41
162	175	39
163	176	38
164	177	37
165	178	36
166	178	35
167	179	34
168	179	32
169	180	31
170	180	30
171	181	29
172	181	28
173	182	27
174	182	26
175	183	25
176	183	23
177	184	22
178	185	21
179	185	20
180	186	19
181	186	18
182	186	17
183	187	16
184	187	15
185	188	14
186	188	13
187	188	12
188	189	11
189	189	9
190	190	8
191	190	7
192	191	6
193	193	5
194	193	4
195	194	3
196	194	2
197	195	1
198	195	0
199	196	0
95	270	5
196	271	4
197	272	2
198	272	1
199	273	0
8	9
196	479	7
197	480	4
198	481	2
199	482	0
